SDSS_objID,redshift,M_r,M_r_err,gr,gr_err,logab,fracDeV,red
587733079195123879,0.0635,-21.89,0.00,0.693,0.017,0.014,0.44,1
588016892787425531,0.0785,-22.32,0.00,0.688,0.016,0.093,0.33,1
587731512078827668,0.0428,-21.20,0.01,0.504,0.018,0.141,0.04,0
588017626170523705,0.0662,-21.82,0.00,0.619,0.016,0.095,0.25,0
587741709953466500,0.0702,-21.27,0.01,0.461,0.016,0.068,0.17,0
588848900972609620,0.0346,-20.45,0.01,0.378,0.019,0.124,0.00,0
587738573534986543,0.0610,-20.77,0.01,0.507,0.018,0.129,0.07,0
587729387694522507,0.0721,-21.67,0.00,0.642,0.016,0.142,0.13,0
588017626693107841,0.0637,-21.35,0.01,0.514,0.017,0.112,0.10,0
587733080810717315,0.0463,-21.22,0.01,0.585,0.017,0.078,0.11,0
587731500258623610,0.0433,-21.26,0.13,0.512,0.151,0.147,0.22,0
587733399187030023,0.0321,-21.36,0.00,0.485,0.015,0.038,0.47,0
587725774528840122,0.0615,-20.56,0.01,0.351,0.023,0.165,0.22,0
588017978369179756,0.0475,-21.55,0.01,0.540,0.017,0.045,0.18,0
587739407331885183,0.0717,-21.66,0.01,0.530,0.017,0.183,0.05,0
587722983363445035,0.0797,-21.85,0.01,0.682,0.021,0.138,0.38,1
588848898840330381,0.0751,-22.30,0.00,0.625,0.016,0.048,0.37,0
587735697521246296,0.0615,-21.29,0.01,0.500,0.018,0.062,0.05,0
588848899910533226,0.0760,-20.75,0.02,0.569,0.029,0.103,0.22,0
587730816828833969,0.0651,-21.89,0.01,0.555,0.018,0.119,0.42,0
587739607560093783,0.0567,-21.96,0.00,0.594,0.016,0.016,0.24,0
587734949130403991,0.0477,-21.25,0.01,0.521,0.019,0.036,0.34,0
588017978878656633,0.0504,-20.33,0.01,0.411,0.021,0.192,0.40,0
587738569239232891,0.0792,-20.59,0.01,0.627,0.025,0.135,0.00,0
588010879844417776,0.0310,-20.67,0.00,0.572,0.015,0.050,0.36,0
587735240642592921,0.0458,-22.04,0.00,0.496,0.015,0.097,0.09,0
587731873388757267,0.0623,-21.62,0.01,0.667,0.016,0.100,0.45,1
588017948813426869,0.0503,-21.22,0.01,0.514,0.018,0.055,0.00,0
587725039561277607,0.0469,-20.94,0.01,0.393,0.017,0.116,0.18,0
588017979420639324,0.0500,-21.50,0.00,0.612,0.016,0.092,0.37,0
587736782003438196,0.0584,-21.30,0.01,0.624,0.017,0.054,0.34,0
587734303269716099,0.0552,-21.08,0.01,0.411,0.019,0.063,0.00,0
587742014876942553,0.0777,-20.74,0.01,0.449,0.024,0.127,0.07,0
587725575886274642,0.0535,-21.69,0.11,0.581,0.191,0.030,0.00,0
587732470386589925,0.0619,-20.60,0.01,0.364,0.018,0.082,0.10,0
587736919437869516,0.0353,-20.36,0.01,0.440,0.019,0.117,0.26,0
587739607561666674,0.0515,-20.70,0.01,0.672,0.019,0.121,0.13,1
587725469054533979,0.0639,-21.28,0.01,0.643,0.022,0.115,0.00,0
587736542012440679,0.0667,-20.31,0.02,0.378,0.027,0.071,0.34,0
588015508730478767,0.0779,-21.33,0.01,0.496,0.019,0.079,0.30,0
587725993573482673,0.0488,-21.49,0.01,0.507,0.016,0.110,0.21,0
587725551212494919,0.0491,-21.46,0.00,0.523,0.016,0.138,0.02,0
587731886808301903,0.0626,-22.31,0.00,0.459,0.015,0.040,0.38,0
587741602569781364,0.0501,-20.82,0.01,0.500,0.020,0.085,0.00,0
588848899909222572,0.0643,-21.23,0.01,0.487,0.018,0.104,0.00,0
